Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.apache.jmeter.report.processor.StatisticsSummaryConsumer::aggregateSample(org.apache.jmeter.report.core.Sample, org.apache.jmeter.report.processor.StatisticsSummaryData):void	org.apache.jmeter.report.processor.StatisticsSummaryData	0/10	
Move Method	org.apache.jmeter.protocol.http.control.HC3CookieHandler::makeCookie(org.apache.jmeter.protocol.http.control.Cookie):org.apache.commons.httpclient.Cookie	org.apache.jmeter.protocol.http.control.Cookie	0/9	
Move Method	org.apache.jmeter.protocol.http.control.HC4CookieHandler::makeCookie(org.apache.jmeter.protocol.http.control.Cookie):org.apache.http.cookie.Cookie	org.apache.jmeter.protocol.http.control.Cookie	0/9	
Move Method	org.apache.jmeter.protocol.http.control.AuthManager::match(org.apache.jmeter.protocol.http.control.Authorization, org.apache.jmeter.protocol.http.control.Authorization):boolean	org.apache.jmeter.protocol.http.control.Authorization	0/4	
Move Method	org.apache.jmeter.protocol.http.proxy.ProxyControl::generateMatchUrl(org.apache.jmeter.protocol.http.sampler.HTTPSamplerBase):java.lang.String	org.apache.jmeter.protocol.http.sampler.HTTPSamplerBase	0/4	
Move Method	org.apache.jmeter.report.processor.graph.AbstractGraphConsumer::aggregateValue(org.apache.jmeter.report.processor.AggregatorFactory, org.apache.jmeter.report.processor.graph.SeriesData, java.lang.Double, double):void	org.apache.jmeter.report.processor.graph.SeriesData	0/4	
Move Method	org.apache.jmeter.extractor.RegexExtractor::saveGroups(org.apache.jmeter.threads.JMeterVariables, java.lang.String, org.apache.oro.text.regex.MatchResult):void	org.apache.jmeter.threads.JMeterVariables	0/3	
Move Method	org.apache.jmeter.gui.action.ChangeParent::changeParent(org.apache.jmeter.testelement.TestElement, org.apache.jmeter.gui.GuiPackage, org.apache.jmeter.gui.tree.JMeterTreeNode):void	org.apache.jmeter.gui.GuiPackage	0/3	
Move Method	org.apache.jmeter.protocol.http.proxy.gui.ProxyControlGui::populateTable(org.apache.jmeter.gui.util.PowerTableModel, org.apache.jmeter.testelement.property.PropertyIterator):void	org.apache.jmeter.gui.util.PowerTableModel	0/3	
Move Method	org.apache.jmeter.report.processor.ApdexSummaryConsumer::getApdex(org.apache.jmeter.report.processor.ApdexSummaryData):double	org.apache.jmeter.report.processor.ApdexSummaryData	0/3	
Move Method	org.apache.jmeter.samplers.DataStrippingSampleSender::stripResponse(org.apache.jmeter.samplers.SampleResult):void	org.apache.jmeter.samplers.SampleResult	0/3	
Move Method	org.apache.jmeter.threads.JMeterThread::processAssertion(org.apache.jmeter.samplers.SampleResult, org.apache.jmeter.assertions.Assertion):void	org.apache.jmeter.samplers.SampleResult	0/3	
Move Method	org.apache.jmeter.assertions.CompareAssertion::appendResultDetails(java.lang.StringBuilder, org.apache.jmeter.samplers.SampleResult):void	org.apache.jmeter.samplers.SampleResult	0/2	
Move Method	org.apache.jmeter.control.gui.ModuleControllerGui::expandToSelectNode(org.apache.jmeter.gui.tree.JMeterTreeNode):void	org.apache.jmeter.gui.tree.JMeterTreeNode	0/2	
Move Method	org.apache.jmeter.extractor.RegexExtractor::removeGroups(org.apache.jmeter.threads.JMeterVariables, java.lang.String):void	org.apache.jmeter.threads.JMeterVariables	0/2	
Move Method	org.apache.jmeter.extractor.XPathExtractor::addAssertionFailure(org.apache.jmeter.samplers.SampleResult, java.lang.Throwable, boolean):void	org.apache.jmeter.samplers.SampleResult	0/2	
Move Method	org.apache.jmeter.protocol.http.proxy.DefaultSamplerCreator::computeSamplerName(org.apache.jmeter.protocol.http.sampler.HTTPSamplerBase, org.apache.jmeter.protocol.http.proxy.HttpRequestHdr):void	org.apache.jmeter.protocol.http.sampler.HTTPSamplerBase	0/2	
Move Method	org.apache.jmeter.save.converters.SampleResultConverter::readFile(java.lang.String, org.apache.jmeter.samplers.SampleResult):void	org.apache.jmeter.samplers.SampleResult	0/2	
Move Method	org.apache.jmeter.services.FileServer::createBufferedReader(org.apache.jmeter.services.FileServer.FileEntry):java.io.BufferedReader	org.apache.jmeter.services.FileServer.FileEntry	0/2	
Move Method	org.apache.jmeter.services.FileServer::createBufferedWriter(org.apache.jmeter.services.FileServer.FileEntry):java.io.BufferedWriter	org.apache.jmeter.services.FileServer.FileEntry	0/2	
Move Method	org.apache.jmeter.threads.ThreadGroup::stopThread(org.apache.jmeter.threads.JMeterThread, java.lang.Thread, boolean):void	org.apache.jmeter.threads.JMeterThread	0/2	
Move Method	org.apache.jmeter.timers.ConstantThroughputTimer::calculateSharedDelay(org.apache.jmeter.timers.ConstantThroughputTimer.ThroughputInfo, long):long	org.apache.jmeter.timers.ConstantThroughputTimer.ThroughputInfo	0/2	
Move Method	org.apache.jmeter.extractor.gui.HtmlExtractorGui::addField(javax.swing.JPanel, org.apache.jorphan.gui.JLabeledTextField, java.awt.GridBagConstraints):void	org.apache.jorphan.gui.JLabeledTextField	0/1	
Move Method	org.apache.jmeter.extractor.gui.RegexExtractorGui::addField(javax.swing.JPanel, org.apache.jorphan.gui.JLabeledTextField, java.awt.GridBagConstraints):void	org.apache.jorphan.gui.JLabeledTextField	0/1	
Move Method	org.apache.jmeter.extractor.gui.XPathExtractorGui::addField(javax.swing.JPanel, org.apache.jorphan.gui.JLabeledTextField, java.awt.GridBagConstraints):void	org.apache.jorphan.gui.JLabeledTextField	0/1	
Move Method	org.apache.jmeter.extractor.json.jsonpath.gui.JSONPostProcessorGui::addField(javax.swing.JPanel, org.apache.jorphan.gui.JLabeledTextField, java.awt.GridBagConstraints):void	org.apache.jorphan.gui.JLabeledTextField	0/1	
Move Method	org.apache.jmeter.functions.RegexFunction::saveGroups(org.apache.oro.text.regex.MatchResult, java.lang.String, org.apache.jmeter.threads.JMeterVariables):void	org.apache.jmeter.threads.JMeterVariables	0/1	
Move Method	org.apache.jmeter.gui.action.Start::cloneTree(org.apache.jorphan.collections.HashTree, boolean):org.apache.jmeter.engine.TreeCloner	org.apache.jorphan.collections.HashTree	0/1	
Move Method	org.apache.jmeter.junit.JMeterTestCase::checkInvalidParameterCounts(org.apache.jmeter.functions.AbstractFunction, int):void	org.apache.jmeter.functions.AbstractFunction	0/1	
Move Method	org.apache.jmeter.junit.JMeterTestCase::checkInvalidParameterCounts(org.apache.jmeter.functions.AbstractFunction, int, int):void	org.apache.jmeter.functions.AbstractFunction	0/1	
Move Method	org.apache.jmeter.protocol.http.modifier.gui.RegExUserParametersGui::addField(javax.swing.JPanel, org.apache.jorphan.gui.JLabeledTextField, java.awt.GridBagConstraints):void	org.apache.jorphan.gui.JLabeledTextField	0/1	
Move Method	org.apache.jmeter.protocol.http.proxy.DefaultSamplerCreator::computeSamplerName(org.apache.jmeter.protocol.http.sampler.HTTPSamplerBase, org.apache.jmeter.protocol.http.proxy.HttpRequestHdr):void	org.apache.jmeter.protocol.http.proxy.HttpRequestHdr	0/1	
Move Method	org.apache.jmeter.protocol.http.proxy.DefaultSamplerCreator::computeContentEncoding(org.apache.jmeter.protocol.http.proxy.HttpRequestHdr, java.util.Map<java.lang.String,java.lang.String>, java.util.Map<java.lang.String,java.lang.String>, java.lang.String):java.lang.String	org.apache.jmeter.protocol.http.proxy.HttpRequestHdr	0/1	
Move Method	org.apache.jmeter.protocol.http.sampler.HTTPHC3Impl::setConnectionHeaders(org.apache.commons.httpclient.HttpMethod, java.net.URL, org.apache.jmeter.protocol.http.control.HeaderManager, org.apache.jmeter.protocol.http.control.CacheManager):void	org.apache.jmeter.protocol.http.control.HeaderManager	0/1	
Move Method	org.apache.jmeter.protocol.http.sampler.HTTPHC3Impl::setConnectionHeaders(org.apache.commons.httpclient.HttpMethod, java.net.URL, org.apache.jmeter.protocol.http.control.HeaderManager, org.apache.jmeter.protocol.http.control.CacheManager):void	org.apache.jmeter.protocol.http.control.CacheManager	0/1	
Move Method	org.apache.jmeter.protocol.http.sampler.HTTPJavaImpl::setConnectionHeaders(java.net.HttpURLConnection, java.net.URL, org.apache.jmeter.protocol.http.control.HeaderManager, org.apache.jmeter.protocol.http.control.CacheManager):void	org.apache.jmeter.protocol.http.control.HeaderManager	0/1	
Move Method	org.apache.jmeter.protocol.http.sampler.HTTPJavaImpl::setConnectionHeaders(java.net.HttpURLConnection, java.net.URL, org.apache.jmeter.protocol.http.control.HeaderManager, org.apache.jmeter.protocol.http.control.CacheManager):void	org.apache.jmeter.protocol.http.control.CacheManager	0/1	
Move Method	org.apache.jmeter.protocol.http.sampler.HTTPJavaImpl::setConnectionAuthorization(java.net.HttpURLConnection, java.net.URL, org.apache.jmeter.protocol.http.control.AuthManager):void	org.apache.jmeter.protocol.http.control.AuthManager	0/1	
Move Method	org.apache.jmeter.report.dashboard.HtmlTemplateExporter::getPropertyFromConfig(org.apache.jmeter.report.config.SubConfiguration, java.lang.String, TProperty, java.lang.Class<TProperty>):TProperty	org.apache.jmeter.report.config.SubConfiguration	0/1	
Move Method	org.apache.jmeter.report.processor.graph.AbstractGraphConsumer::setMinResult(org.apache.jmeter.report.processor.MapResultData, java.lang.String, java.lang.Double):void	org.apache.jmeter.report.processor.MapResultData	0/1	
Move Method	org.apache.jmeter.report.processor.graph.AbstractGraphConsumer::setMaxResult(org.apache.jmeter.report.processor.MapResultData, java.lang.String, java.lang.Double):void	org.apache.jmeter.report.processor.MapResultData	0/1	
Move Method	org.apache.jmeter.visualizers.AssertionVisualizer::getAssertionResult(org.apache.jmeter.samplers.SampleResult):java.lang.String	org.apache.jmeter.samplers.SampleResult	0/1	
